Question,,Answer
Why are some AU final year students included in the current student vaccination exercise?,MOE/054,"As AUs have different academic terms, some AUs are still in session with some final-year students on campus. To minimise the risk of transmission on campus, these students who have not graduated are included in the current student vaccination exercise."
"My child is in AU final year, why now then go for vaccination?",MOE/054,"As AUs have different academic terms, some AUs are still in session with some final-year students on campus. To minimise the risk of transmission on campus, these students who have not graduated are included in the current student vaccination exercise."
"Why are students from schools and Institutes of Higher Learning (IHLs) being prioritised for vaccination, especially when children affected by COVID-19 usually recover with no complications? Why is there a need to take the vaccines?",MOE/055,"The Ministry of Education (MOE) and the Ministry of Health (MOH) are prioritising the vaccination of students as part of ongoing national efforts to keep our education institutions and the wider community safe.

Even though there are fewer children who have been ill with COVID-19 as compared to adults, the vaccination can help protect your child from getting COVID-19, and help to reduce the severity of the disease even for those small number of cases where the vaccinated individual ended up being infected.

In addition, getting your child vaccinated helps to protect those around your child from being infected, including family members, especially more vulnerable persons like elderly relatives or persons with weakened immune systems.

Having the vaccine may also give parents and children peace of mind to return to more typical activities in school."
Why are students being prioritised for vaccination when they are in lower risk?,MOE/055,"The Ministry of Education (MOE) and the Ministry of Health (MOH) are prioritising the vaccination of students as part of ongoing national efforts to keep our education institutions and the wider community safe.

Even though there are fewer children who have been ill with COVID-19 as compared to adults, the vaccination can help protect your child from getting COVID-19, and help to reduce the severity of the disease even for those small number of cases where the vaccinated individual ended up being infected.

In addition, getting your child vaccinated helps to protect those around your child from being infected, including family members, especially more vulnerable persons like elderly relatives or persons with weakened immune systems.

Having the vaccine may also give parents and children peace of mind to return to more typical activities in school."
Is the vaccination exercise for students part of the national vaccination programme?,MOE/056,"The vaccination exercise for students from schools and Institutes of Higher Learning (IHLs) is part of the national vaccination programme, and will help contribute to efforts to keep our education institutions and the wider community safe."
Will there be any special arrangements for students in SPED schools who wish to receive the vaccination?,MOE/057,"To facilitate access for students in SPED schools who may find it challenging to visit a vaccination site in-person, MOE and MOH will also deploy mobile vaccination teams to carry out vaccinations for all SPED students aged 12 and above. The respective SPED schools will share the registration instructions and guidelines with parents and students."
Any special arrangements for students in SPED schools to take the vaccination?,MOE/057,"To facilitate access for students in SPED schools who may find it challenging to visit a vaccination site in-person, MOE and MOH will also deploy mobile vaccination teams to carry out vaccinations for all SPED students aged 12 and above. The respective SPED schools will share the registration instructions and guidelines with parents and students."
Can my child choose to take the vaccination later on?,MOE/058,"Students who are not able to get vaccinated during the vaccination exercise may do so later, and if they are medically eligible to do so at that point in time.

While vaccination is not mandatory, we encourage all medically eligible individuals to take it up when offered to them. The risk of community spread remains and comprehensive coverage of COVID-19 vaccination can help protect individuals as well as the wider community against the virus."
Can we wait awhile more before getting my child vaccinated?,MOE/058,"Students who are not able to get vaccinated during the vaccination exercise may do so later, and if they are medically eligible to do so at that point in time.

While vaccination is not mandatory, we encourage all medically eligible individuals to take it up when offered to them. The risk of community spread remains and comprehensive coverage of COVID-19 vaccination can help protect individuals as well as the wider community against the virus."
Can exceptions be made for students who have yet to turn 12 to receive their vaccinations before their birthdays?,MOE/059,"As the Pfizer-BioNTech/Comirnaty COVID-19 vaccine has only been authorised for use in individuals aged 12 and above, students who have yet to turn 12 during the duration of the vaccination exercise will not be medically eligible to receive the vaccination. Parents can register their interest for their child to receive the vaccination once their child turns 12."
Can students who have yet to turn 12 to receive their vaccinations before their birthdays?,MOE/059,"As the Pfizer-BioNTech/Comirnaty COVID-19 vaccine has only been authorised for use in individuals aged 12 and above, students who have yet to turn 12 during the duration of the vaccination exercise will not be medically eligible to receive the vaccination. Parents can register their interest for their child to receive the vaccination once their child turns 12."
Can my child go for vaccination before his 12th birthday?,MOE/059,"As the Pfizer-BioNTech/Comirnaty COVID-19 vaccine has only been authorised for use in individuals aged 12 and above, students who have yet to turn 12 during the duration of the vaccination exercise will not be medically eligible to receive the vaccination. Parents can register their interest for their child to receive the vaccination once their child turns 12."
Will school activities be affected for students who receive the vaccination? Can students schedule their vaccination during school hours?,MOE/060,"To minimise disruption to school activities, we encourage students to:

Schedule their vaccination early as soon as possible;
Consider the timing for both their first and second doses when scheduling their vaccinations; and
Sign up for slots during weekends, if they are able to."
Will my kid miss classes when he is scheduled to receive his vaccination?,MOE/060,"To minimise disruption to school activities, we encourage students to:

Schedule their vaccination early as soon as possible;
Consider the timing for both their first and second doses when scheduling their vaccinations; and
Sign up for slots during weekends, if they are able to."
When should we schdeule our child's vaccination?,MOE/060,"To minimise disruption to school activities, we encourage students to:

Schedule their vaccination early as soon as possible;
Consider the timing for both their first and second doses when scheduling their vaccinations; and
Sign up for slots during weekends, if they are able to."
Will parents/legal guardians be allowed to accompany their child to the vaccination centres?,MOE/061,"Parents/legal guardians are to accompany their child to the vaccination centre if they are below 13 years old. While parents/legal guardians would not be required to accompany older children who are 13 and above to the vaccination centre, should they wish to do so, they will be ushered to a family waiting area outside the vaccination room/centre, to avoid congestion and ensure compliance to Safe Management Measures at the vaccination centres. For students whose vaccinations are being facilitated by the school through block booking, parents/legal guardians would not be required to accompany their child.

For students in SPED schools, a parent/legal guardian will be allowed to accompany their child/ward throughout the vaccination exercise. If there is a need for both parents to be present, please inform the school."
Can we tag along with our child to the vaccination centres?,MOE/061,"Parents/legal guardians are to accompany their child to the vaccination centre if they are below 13 years old. While parents/legal guardians would not be required to accompany older children who are 13 and above to the vaccination centre, should they wish to do so, they will be ushered to a family waiting area outside the vaccination room/centre, to avoid congestion and ensure compliance to Safe Management Measures at the vaccination centres. For students whose vaccinations are being facilitated by the school through block booking, parents/legal guardians would not be required to accompany their child.

For students in SPED schools, a parent/legal guardian will be allowed to accompany their child/ward throughout the vaccination exercise. If there is a need for both parents to be present, please inform the school."
Can we follow our child to the vaccination centres?,MOE/061,"Parents/legal guardians are to accompany their child to the vaccination centre if they are below 13 years old. While parents/legal guardians would not be required to accompany older children who are 13 and above to the vaccination centre, should they wish to do so, they will be ushered to a family waiting area outside the vaccination room/centre, to avoid congestion and ensure compliance to Safe Management Measures at the vaccination centres. For students whose vaccinations are being facilitated by the school through block booking, parents/legal guardians would not be required to accompany their child.

For students in SPED schools, a parent/legal guardian will be allowed to accompany their child/ward throughout the vaccination exercise. If there is a need for both parents to be present, please inform the school."
Will students be able to choose which vaccine they would like to receive?,MOE/062,"Based on the Health Sciences Authority's (HSA) approval of the medical suitability of the vaccines, individuals below the age of 18 will only be offered the Pfizer-BioNTech/Comirnaty COVID-19 vaccine, while individuals aged 18 and above will be offered a choice between the Pfizer-BioNTech/Comirnaty COVID-19 vaccine and the Moderna COVID-19 vaccine. The vaccines have been assessed by HSA to meet the safety and efficacy standards. We encourage students to make a vaccination appointment as early as possible upon receiving their SMS notification."
Can my child choose which vaccine to take?,MOE/062,"Based on the Health Sciences Authority's (HSA) approval of the medical suitability of the vaccines, individuals below the age of 18 will only be offered the Pfizer-BioNTech/Comirnaty COVID-19 vaccine, while individuals aged 18 and above will be offered a choice between the Pfizer-BioNTech/Comirnaty COVID-19 vaccine and the Moderna COVID-19 vaccine. The vaccines have been assessed by HSA to meet the safety and efficacy standards. We encourage students to make a vaccination appointment as early as possible upon receiving their SMS notification."
Can my kid choose which vaccine to take?,MOE/062,"Based on the Health Sciences Authority's (HSA) approval of the medical suitability of the vaccines, individuals below the age of 18 will only be offered the Pfizer-BioNTech/Comirnaty COVID-19 vaccine, while individuals aged 18 and above will be offered a choice between the Pfizer-BioNTech/Comirnaty COVID-19 vaccine and the Moderna COVID-19 vaccine. The vaccines have been assessed by HSA to meet the safety and efficacy standards. We encourage students to make a vaccination appointment as early as possible upon receiving their SMS notification."
What is the interval between the first and second vaccination shots?,MOE/063,"According to MOH, from 29 June 2021 onwards, the interval between doses of the Pfizer-BioNTech/Comirnaty and Moderna vaccines will be shortened from 6 – 8 weeks to 4 weeks.

This will allow more of our population to be fully vaccinated earlier."
What is the duration between the first and second vaccination shots?,MOE/063,"According to MOH, from 29 June 2021 onwards, the interval between doses of the Pfizer-BioNTech/Comirnaty and Moderna vaccines will be shortened from 6 – 8 weeks to 4 weeks.

This will allow more of our population to be fully vaccinated earlier."
What should students or their parents do if they have yet to receive the SMS for the vaccination?,MOE/064,"Students or their parents who have yet to receive the SMS for the vaccination should register at https://www.vaccine.gov.sg and wait for an SMS with a unique booking link from MOH. If students/parents/guardians do not receive the link within a week after the registration, please contact MOH at 1800 333 9999 for assistance."
I have not receive the SMS for my child's vaccination. What should I do?,MOE/064,"Students or their parents who have yet to receive the SMS for the vaccination should register at https://www.vaccine.gov.sg and wait for an SMS with a unique booking link from MOH. If students/parents/guardians do not receive the link within a week after the registration, please contact MOH at 1800 333 9999 for assistance."
"What happens if students miss their vaccination appointment (i.e. on MC, personal reasons)? Will they be allowed to make another appointment?",MOE/065,"Students who made their appointments via the National Appointment System (NAS) and missed their appointments will be able to reschedule via the NAS. If they face any difficulties, they should contact MOH at 1800 333 9999 for further assistance.

For students who have block-booked their vaccination appointments at ITE Vaccination Centres or SPED students scheduled for vaccination at their schools:

Students who miss their first vaccination appointment, may re-register at https://www.vaccine.gov.sg and schedule an appointment via NAS.
If students miss their second vaccination appointment, they should contact their respective institutions for further assistance."
My child missed his vaccination appointment. How ah?,MOE/065,"Students who made their appointments via the National Appointment System (NAS) and missed their appointments will be able to reschedule via the NAS. If they face any difficulties, they should contact MOH at 1800 333 9999 for further assistance.

For students who have block-booked their vaccination appointments at ITE Vaccination Centres or SPED students scheduled for vaccination at their schools:

Students who miss their first vaccination appointment, may re-register at https://www.vaccine.gov.sg and schedule an appointment via NAS.
If students miss their second vaccination appointment, they should contact their respective institutions for further assistance."
My child missed his vaccination appointment. What should he do?,MOE/065,"Students who made their appointments via the National Appointment System (NAS) and missed their appointments will be able to reschedule via the NAS. If they face any difficulties, they should contact MOH at 1800 333 9999 for further assistance.

For students who have block-booked their vaccination appointments at ITE Vaccination Centres or SPED students scheduled for vaccination at their schools:

Students who miss their first vaccination appointment, may re-register at https://www.vaccine.gov.sg and schedule an appointment via NAS.
If students miss their second vaccination appointment, they should contact their respective institutions for further assistance."
Can my child reschdule his vaccination appointment if he missed his?,MOE/065,"Students who made their appointments via the National Appointment System (NAS) and missed their appointments will be able to reschedule via the NAS. If they face any difficulties, they should contact MOH at 1800 333 9999 for further assistance.

For students who have block-booked their vaccination appointments at ITE Vaccination Centres or SPED students scheduled for vaccination at their schools:

Students who miss their first vaccination appointment, may re-register at https://www.vaccine.gov.sg and schedule an appointment via NAS.
If students miss their second vaccination appointment, they should contact their respective institutions for further assistance."
What happens if students' vaccination appointment clashes with their upcoming oral national examinations?,MOE/066,"MOE would like to assure parents and students that if students' upcoming oral national examination schedules clash with their appointment date for the first or second dose of their vaccination, changes to their oral examination dates within the oral examination window can be accommodated where possible, or else new appointment dates for the vaccination can also be scheduled.

Special Consideration may be applicable if rescheduling is not possible. Parents/students should provide evidence of the vaccination appointment to facilitate this."
"If my child's vaccination appointment coincides with his exams, how ah?",MOE/066,"MOE would like to assure parents and students that if students' upcoming oral national examination schedules clash with their appointment date for the first or second dose of their vaccination, changes to their oral examination dates within the oral examination window can be accommodated where possible, or else new appointment dates for the vaccination can also be scheduled.

Special Consideration may be applicable if rescheduling is not possible. Parents/students should provide evidence of the vaccination appointment to facilitate this."
"If my child's vaccination appointment clashes with his exams, how ah?",MOE/066,"MOE would like to assure parents and students that if students' upcoming oral national examination schedules clash with their appointment date for the first or second dose of their vaccination, changes to their oral examination dates within the oral examination window can be accommodated where possible, or else new appointment dates for the vaccination can also be scheduled.

Special Consideration may be applicable if rescheduling is not possible. Parents/students should provide evidence of the vaccination appointment to facilitate this."
Is there a hotline parents can call for their queries?,MOE/067,"For requests or queries on the rescheduling of vaccination appointments, parents can call Ministry of Health at 1800 333 9999. For general questions, they can contact their schools directly."
Any hoteline to call to reschedule vaccination appointments?,MOE/067,"For requests or queries on the rescheduling of vaccination appointments, parents can call Ministry of Health at 1800 333 9999. For general questions, they can contact their schools directly."
"How would schools ensure the continuity of school activities, including teaching and learning, with the ongoing vaccination exercise for staff?",MOE/068,"Schools will plan and manage the vaccination exercise such that it will minimise disruption to school operations. Schools will encourage staff to:

Schedule their vaccination early and, where possible, during the March school holidays, but with some reasonable staggering;
Consider the timing for both first and second doses when scheduling for vaccinations, and avoid the period of critical school activities;
Sign up for slots during weekends, if they are able to."
What are schools' plans for the continuity of school activities given the ongoing vaccination?,MOE/068,"Schools will plan and manage the vaccination exercise such that it will minimise disruption to school operations. Schools will encourage staff to:

Schedule their vaccination early and, where possible, during the March school holidays, but with some reasonable staggering;
Consider the timing for both first and second doses when scheduling for vaccinations, and avoid the period of critical school activities;
Sign up for slots during weekends, if they are able to."
"Will I be denied entry to IHLs/PEIs if I do not have the TraceTogether (TT) App, or misplace or forget to bring my TT Token?",MOE/069,"All students, staff and visitors are expected to use the TT App or Token to check in. Individuals will only be granted entry with IDs as a last resort."
"If my child forgot to bring his token, can he still enter the school?",MOE/069,"All students, staff and visitors are expected to use the TT App or Token to check in. Individuals will only be granted entry with IDs as a last resort."
"If I forgot to bring my token, can I still enter my school?",MOE/069,"All students, staff and visitors are expected to use the TT App or Token to check in. Individuals will only be granted entry with IDs as a last resort."
What if my child lost or misplaced his/her TT Token?,MOE/070,Those who have lost or misplaced their Tokens can get replacements at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website. The first replacement for lost Tokens will be free.
"If my child lost his token, how ah?",MOE/070,Those who have lost or misplaced their Tokens can get replacements at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website. The first replacement for lost Tokens will be free.
What happens if my child lost his token?,MOE/070,Those who have lost or misplaced their Tokens can get replacements at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website. The first replacement for lost Tokens will be free.
What should I do if my child missed the deadline to collect the TraceTogether (TT) Tokens from schools?,MOE/071,Students may still collect their Tokens at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website if they missed the deadline to request for it via their respective schools. Parents may also collect the Token on their child’s behalf.
"If my child forgot to collect the TraceTogether (TT) Tokens from schools, what should I do?",MOE/071,Students may still collect their Tokens at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website if they missed the deadline to request for it via their respective schools. Parents may also collect the Token on their child’s behalf.
"If my child forgot to collect the TraceTogether (TT) Tokens from schools, how ah?",MOE/071,Students may still collect their Tokens at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website if they missed the deadline to request for it via their respective schools. Parents may also collect the Token on their child’s behalf.
How does the TraceTogether (TT) App and/or Token collect and store my child's data?,MOE/072,"For more information on the collection and storage of TraceTogether data, please refer to the TokenGoWhere website."
How will my child's data be collected and stored in the tokens?,MOE/072,"For more information on the collection and storage of TraceTogether data, please refer to the TokenGoWhere website."
Is it safe for my child to use the TraceTogether tokens?,MOE/072,"For more information on the collection and storage of TraceTogether data, please refer to the TokenGoWhere website."
How are schools implementing TraceTogether-only SafeEntry (TT-only SE)? When would this implementation take place? Aren't schools already safe with all the safe management measures?,MOE/073,"[Updated to reflect MOE's Press Release on 4 May 2021]
Schools are generally safe with all the existing safe management measures in place. With the nationwide implementation of TT-only SE from 17 May 2021, students should have their TT Token or App with them in school to facilitate accurate contact tracing.

Students will not be denied entry to school should they misplace or forget to bring the Token to school. However, if they are involved in external activities at venues that require TT-only SE, they must have their TT Token/App with them to ensure they are able to participate in these activities.

For students who had missed the deadline to request for a Token via their respective schools, they may still collect it at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website. Parents may also collect the Token on their child’s behalf."
Will schools be implementing the TraceTogether token for check in?,MOE/073,"[Updated to reflect MOE's Press Release on 4 May 2021]
Schools are generally safe with all the existing safe management measures in place. With the nationwide implementation of TT-only SE from 17 May 2021, students should have their TT Token or App with them in school to facilitate accurate contact tracing.

Students will not be denied entry to school should they misplace or forget to bring the Token to school. However, if they are involved in external activities at venues that require TT-only SE, they must have their TT Token/App with them to ensure they are able to participate in these activities.

For students who had missed the deadline to request for a Token via their respective schools, they may still collect it at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website. Parents may also collect the Token on their child’s behalf."
Should my child bring the TraceTogether (TT) Token to school? Can my child use the TT App instead of using the Token?,MOE/074,"While the TT App serves the same function as the TT Token and students can use the TT App, they may not have access to their handphones all the time during classes or outdoor activities. As such, students are encouraged to bring the TT Token to school for ease of contact tracing.

For students who had missed the deadline to request for a Token via their respective schools, they may still collect their Tokens at any of Community Centres/Clubs (CCs) listed on the TokenGoWhere website. Parents may also collect the Token on their child's behalf."
Can my child use the Trace Together App instead of the token?,MOE/074,"While the TT App serves the same function as the TT Token and students can use the TT App, they may not have access to their handphones all the time during classes or outdoor activities. As such, students are encouraged to bring the TT Token to school for ease of contact tracing.

For students who had missed the deadline to request for a Token via their respective schools, they may still collect their Tokens at any of Community Centres/Clubs (CCs) listed on the TokenGoWhere website. Parents may also collect the Token on their child's behalf."
"Will my child be denied entry to schools if he/she does not have the TraceTogether (TT) App, or misplaces or forgets to bring his/her TT Token?",MOE/075,"Students will not be denied entry to schools in such a situation. However, they are expected to have their TT App/Token with them daily to facilitate contact tracing."
Will my child not be able to enter the school if he forgets to bring the Trace Together token or App?,MOE/075,"Students will not be denied entry to schools in such a situation. However, they are expected to have their TT App/Token with them daily to facilitate contact tracing."
Will my child not be able to enter the school if he does not have the Trace Together token or App?,MOE/075,"Students will not be denied entry to schools in such a situation. However, they are expected to have their TT App/Token with them daily to facilitate contact tracing."
Can my child with special educational needs (SEN) be excused from wearing or carrying the TraceTogether (TT) Token?,MOE/076,"Parents of students with SEN are encouraged to obtain and use the TT Token for their child for school activities that may require it and for their private use.

Parents of students who do not routinely carry a TT Token should take note that some out-of-school activities (e.g. external CCAs, Learning Journeys) could involve entry to public/commercial buildings which require the TraceTogether App or Token when TraceTogether-only SafeEntry is implemented from 17 May 2021. For such activities, parents may wish to work out an arrangement with their child's school to facilitate the use of the child's TT Token for these activities.

For students who had missed the deadline to request for a Token via their respective schools, they may still collect their Token at any of the Community Centres/Clubs listed on the TokenGoWhere website. Parents may also collect the Token on their child's behalf."
How are IHLs implementing the TraceTogether-only SafeEntry (TT-only SE)? When would this implementation take place? Aren't IHLs already safe with all the safe management measures?,MOE/077,"[Updated to reflect MOE's Press Release on 4 May 2021]
IHLs have implemented all the necessary safe management measures, including the use of TraceTogether (TT).

As part of the nationwide implementation, IHLs are also required to implement TT-only SE from 17 May 2021. This will give us greater assurance as we progressively resume more activities and to ease certain restrictions, both in and out of campuses.

Students and staff who are not onboard the TT Programme may wish to download the TT App on their smartphones, or collect a TT Token at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website."
Will IHLs be implementing the TraceTogether token for check in?,MOE/077,"[Updated to reflect MOE's Press Release on 4 May 2021]
IHLs have implemented all the necessary safe management measures, including the use of TraceTogether (TT).

As part of the nationwide implementation, IHLs are also required to implement TT-only SE from 17 May 2021. This will give us greater assurance as we progressively resume more activities and to ease certain restrictions, both in and out of campuses.

Students and staff who are not onboard the TT Programme may wish to download the TT App on their smartphones, or collect a TT Token at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website."
Will unis be implementing the TraceTogether token for check in?,MOE/077,"[Updated to reflect MOE's Press Release on 4 May 2021]
IHLs have implemented all the necessary safe management measures, including the use of TraceTogether (TT).

As part of the nationwide implementation, IHLs are also required to implement TT-only SE from 17 May 2021. This will give us greater assurance as we progressively resume more activities and to ease certain restrictions, both in and out of campuses.

Students and staff who are not onboard the TT Programme may wish to download the TT App on their smartphones, or collect a TT Token at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website."
Will universities be implementing the TraceTogether token for check in?,MOE/077,"[Updated to reflect MOE's Press Release on 4 May 2021]
IHLs have implemented all the necessary safe management measures, including the use of TraceTogether (TT).

As part of the nationwide implementation, IHLs are also required to implement TT-only SE from 17 May 2021. This will give us greater assurance as we progressively resume more activities and to ease certain restrictions, both in and out of campuses.

Students and staff who are not onboard the TT Programme may wish to download the TT App on their smartphones, or collect a TT Token at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website."
Will Private Education Institutions (PEIs) be required to implement TraceTogether-only SafeEntry (TT-only SE)?,MOE/078,"PEIs are required to implement TT-only SE from 17 May 2021.

Students and staff who are not onboard the TT Programme may wish to download the TT App on their smartphones, or collect a TT Token at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website."
Will Private Institutions be implementing the TraceTogether token for check in?,MOE/078,"PEIs are required to implement TT-only SE from 17 May 2021.

Students and staff who are not onboard the TT Programme may wish to download the TT App on their smartphones, or collect a TT Token at any of the Community Centres/Clubs (CCs) listed on the TokenGoWhere website."
What happens if the TraceTogether (TT) Token is damaged or misplaced? Will there be any charges incurred for replacements?,MOE/079,"To avoid damaging the Token, the Token should not be placed in water, near fire sources or dropped from height. Individuals should also not attempt to tamper with the device, as doing so is a violation of the Computer Misuse Act.

To avoid losing the Token, you may personalise it with a lanyard, accessory, add a name sticker label or write your name on the Token. However, please do not write over, cover or remove the QR code on the Token.

Damaged or faulty TT Tokens can be replaced for free at any Community Centre/Club (CCs), or at the Token replacement booths set up in selected malls. Those who have misplaced their Tokens can get replacements at the active collection venues listed on the TokenGoWhere website. The first replacement of lost Tokens will be free.

For more assistance, you may call the hotline (6973 6511) or write to support@tracetogether.gov.sg."
What if my Trace Together (TT) Token is spoilt?,MOE/079,"To avoid damaging the Token, the Token should not be placed in water, near fire sources or dropped from height. Individuals should also not attempt to tamper with the device, as doing so is a violation of the Computer Misuse Act.

To avoid losing the Token, you may personalise it with a lanyard, accessory, add a name sticker label or write your name on the Token. However, please do not write over, cover or remove the QR code on the Token.

Damaged or faulty TT Tokens can be replaced for free at any Community Centre/Club (CCs), or at the Token replacement booths set up in selected malls. Those who have misplaced their Tokens can get replacements at the active collection venues listed on the TokenGoWhere website. The first replacement of lost Tokens will be free.

For more assistance, you may call the hotline (6973 6511) or write to support@tracetogether.gov.sg."
My Trace Together (TT) Token is spoilt,MOE/079,"To avoid damaging the Token, the Token should not be placed in water, near fire sources or dropped from height. Individuals should also not attempt to tamper with the device, as doing so is a violation of the Computer Misuse Act.

To avoid losing the Token, you may personalise it with a lanyard, accessory, add a name sticker label or write your name on the Token. However, please do not write over, cover or remove the QR code on the Token.

Damaged or faulty TT Tokens can be replaced for free at any Community Centre/Club (CCs), or at the Token replacement booths set up in selected malls. Those who have misplaced their Tokens can get replacements at the active collection venues listed on the TokenGoWhere website. The first replacement of lost Tokens will be free.

For more assistance, you may call the hotline (6973 6511) or write to support@tracetogether.gov.sg."
What if the TraceTogether (TT) Token runs out of battery?,MOE/080,"The TT Token's battery is expected to last six months and is non-rechargeable.

TT Token users can check if their Token is working by looking out for a green light that blinks about once every minute. If the Token is blinking red, or if there is no light at all, users should replace their Token at any Community Club/Centre (CC), or at Token replacement booths set up at selected malls. More information can be found on the TokenGoWhere website.

For more assistance, please call the service hotline (6973 6511) or email support@tracetogether.gov.sg."
Can TraceTogether (TT) be used to track the movements of a person within and outside the schools/IHLs?,MOE/081,"Similar to the TT App, the TT Token does not capture geo-location data and hence, cannot track movements. As the TT token does not have internet or cellular connectivity, the data on the Token cannot be accessed remotely.

Designed to interoperate with the TT App, the Token works by exchanging short-distance Bluetooth signals with other TraceTogether devices in close proximity. Records of proximity data of close contacts are encrypted and stored locally in the Token for no more than 25 days. The Token will only be collected by the relevant authorities (such as MOH) for data extraction to safeguard public health, and only if a user is confirmed to be a COVID-19 case. Our schools and IHLs will not have access to the data.

All public sector data protection rules will apply to the data held by MOH, including abiding by recommendations of the Public Sector Data Security Review Committee."
Is the token being used to track movements of students within and outside of school?,MOE/081,"Similar to the TT App, the TT Token does not capture geo-location data and hence, cannot track movements. As the TT token does not have internet or cellular connectivity, the data on the Token cannot be accessed remotely.

Designed to interoperate with the TT App, the Token works by exchanging short-distance Bluetooth signals with other TraceTogether devices in close proximity. Records of proximity data of close contacts are encrypted and stored locally in the Token for no more than 25 days. The Token will only be collected by the relevant authorities (such as MOH) for data extraction to safeguard public health, and only if a user is confirmed to be a COVID-19 case. Our schools and IHLs will not have access to the data.

All public sector data protection rules will apply to the data held by MOH, including abiding by recommendations of the Public Sector Data Security Review Committee."
Are schools using the trace togeher token to track movements of students within and outside of school?,MOE/081,"Similar to the TT App, the TT Token does not capture geo-location data and hence, cannot track movements. As the TT token does not have internet or cellular connectivity, the data on the Token cannot be accessed remotely.

Designed to interoperate with the TT App, the Token works by exchanging short-distance Bluetooth signals with other TraceTogether devices in close proximity. Records of proximity data of close contacts are encrypted and stored locally in the Token for no more than 25 days. The Token will only be collected by the relevant authorities (such as MOH) for data extraction to safeguard public health, and only if a user is confirmed to be a COVID-19 case. Our schools and IHLs will not have access to the data.

All public sector data protection rules will apply to the data held by MOH, including abiding by recommendations of the Public Sector Data Security Review Committee."
What adjustments have been made to ensure that students are not unduly penalised in terms of their co-curricular records and LEAPS 2.0 attainment?,MOE/082,"MOE has implemented a set of measures to mitigate the impact of COVID-19 on the co-curricular records of primary school and pre-university students, as well as the LEAPS 2.0 attainment for secondary school students.

For the LEAPS 2.0 framework, which recognises the holistic development of secondary students, adjustments have been made to the four domains – Achievement, Leadership, Participation and Service – so that students will continue to be recognised for their involvement in co-curricular activities (CCA).

Under the Achievement domain, MOE has implemented a special provision to recognise all students for Representation and Accomplishment as long as they have been selected to represent their school this year for any competition, performance or event (e.g. National School Games, Singapore Youth Festival Arts Presentation etc.). This is regardless of the completion status and outcome of their involvement in these activities.

Under the Leadership domain, schools will continue to recognise school, class and CCA-based leadership appointments, taking into account how the various leadership responsibilities might have been rescoped to continue to allow meaningful learning to take place. For example, for Uniformed Groups, badgework and promotion requirements will be adjusted to allow students to pursue their rank promotions and badges through online learning modules.

Under the Participation domain, students' CCA attendance will be pro-rated based on the total number of CCA sessions that have been conducted by the school. Students who were absent with valid reasons due to disruptions caused by COVID-19 will not be penalised.

Under the Service domain, schools will continue to recognise students for their involvement in Values in Action (VIA) activities and projects, time spent on planning, discussing and refining as well as reflection components of their VIA project."
How does MOE minimise the impact of covid-19 on student's co-curricular activies in school?,MOE/082,"MOE has implemented a set of measures to mitigate the impact of COVID-19 on the co-curricular records of primary school and pre-university students, as well as the LEAPS 2.0 attainment for secondary school students.

For the LEAPS 2.0 framework, which recognises the holistic development of secondary students, adjustments have been made to the four domains – Achievement, Leadership, Participation and Service – so that students will continue to be recognised for their involvement in co-curricular activities (CCA).

Under the Achievement domain, MOE has implemented a special provision to recognise all students for Representation and Accomplishment as long as they have been selected to represent their school this year for any competition, performance or event (e.g. National School Games, Singapore Youth Festival Arts Presentation etc.). This is regardless of the completion status and outcome of their involvement in these activities.

Under the Leadership domain, schools will continue to recognise school, class and CCA-based leadership appointments, taking into account how the various leadership responsibilities might have been rescoped to continue to allow meaningful learning to take place. For example, for Uniformed Groups, badgework and promotion requirements will be adjusted to allow students to pursue their rank promotions and badges through online learning modules.

Under the Participation domain, students' CCA attendance will be pro-rated based on the total number of CCA sessions that have been conducted by the school. Students who were absent with valid reasons due to disruptions caused by COVID-19 will not be penalised.

Under the Service domain, schools will continue to recognise students for their involvement in Values in Action (VIA) activities and projects, time spent on planning, discussing and refining as well as reflection components of their VIA project."
